"","Marca temporal","Edad, en años cumplidos","Sexo","¿En cuál sede de la UCAB estudias?","¿En cuál escuela estudias?","¿Cuál semestre cursas actualmente?","¿Cuánto temor te produce el coronavirus?","¿Cuántas medidas de prevención has adoptado en tu vida diaria para evitar contagiarte?","Describelas brevemente (opcional)","3- ¿Cómo te sientes en cuarentena?","Cuando termine la cuarentena tu crees que...","A continuación encontraras una lista de las actividades que las personas están haciendo en cuarentena, marca todas las que apliquen a tu caso."
"18",2020-04-06 15:09:04,19,"Hombre","Caracas","Psicología",3,2,4,NA,"Regular, pero no hay más remedio","Las cosas van a estar mucho mejor","Estoy haciendo cursos en línea, Estoy leyendo más de lo habitual (libros, revistas), Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"19",2020-04-06 15:13:49,20,"Mujer","Caracas","Psicología",3,3,4,"Salir solo para ir a hacer compras importantes, uso de tapabocas y guantes en el exterior de la casa, rociar spray desinfectante en el integrante de la familia que llegue a la casa, lavado de manos, dejar los zapatos en la entrada donde se limpian las suelas, uso de antibacterial y alcohol. Todas las medidas son al tener contacto con el exterior, mientras permanecemos en casa todo fluye y es menos estricto","Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy haciendo cursos en línea, Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando meditación/yoga, Estoy practicando danza, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"20",2020-04-06 15:42:59,21,"Mujer","Caracas","Psicología",3,3,4,NA,"Muy mal, estoy que me subo por las paredes","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"21",2020-04-06 15:45:26,18,"Mujer","Caracas","Psicología",4,3,3,NA,"Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando danza, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"22",2020-04-06 15:56:09,20,"Mujer","Caracas","Psicología",4,3,5,"permanecer en mi casa, lavarme las manos constantemente, utilizar guantes y tapabocas en caso de que deba salir a algún sitio publico","Regular, pero no hay más remedio","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando meditación/yoga, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy practicando danza, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"23",2020-04-06 15:57:06,19,"Mujer","Caracas","Psicología",3,3,5,NA,"Bien, tampoco es para tanto","Nada va a cambiar","Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"24",2020-04-06 16:02:33,20,"Mujer","Caracas","Psicología",4,3,3,NA,"Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy haciendo cursos en línea, Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy aprendiendo algo nuevo (cocina, hobby)"
"25",2020-04-06 16:19:26,19,"Mujer","Caracas","Psicología",3,2,4,"Lavado constante de manos, uso de guantes y tapabocas al salir de casa, guardar distancia con las personas, bañarse tan pronto llegar de la calle, etc.","Mal, necesito que esto termine pronto","Las cosas van a estar mal","Estoy haciendo cursos en línea, Estoy conectado más tiempo en redes sociales, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy conectado con mis amigos en linea (jugando o conversando)"
"26",2020-04-06 16:21:11,18,"Mujer","Caracas","Psicología",3,2,4,"lavado de manos y rostro al llegar a casa, uso de guantes y tapabocas de ser necesario salir, uso de desinfectante en objetos que puedan ser motivo de contagio","Bien, tampoco es para tanto","Las cosas van a estar mucho mejor","Estoy haciendo cursos en línea, Estoy leyendo más de lo habitual (libros, revistas), Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia"
"27",2020-04-06 16:31:49,19,"Mujer","Caracas","Psicología",4,2,4,"Solo una persona sale en la casa","Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy haciendo cursos en línea, Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy practicando danza, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"28",2020-04-06 16:48:22,17,"Mujer","Caracas","Psicología",2,2,4,NA,"Bien, tampoco es para tanto","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"29",2020-04-06 16:48:23,19,"Mujer","Caracas","Economía",1,3,5,NA,"Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy leyendo más de lo habitual (libros, revistas), Estoy conectado más tiempo en redes sociales"
"30",2020-04-06 16:48:26,17,"Hombre","Caracas","Ingeniera",2,2,5,NA,"Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando meditación/yoga, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"31",2020-04-06 16:49:03,18,"Hombre","Caracas","Derecho",2,2,3,NA,"Regular, pero no hay más remedio","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy viendo más television, Estoy haciendo rutinas de ejercicios"
"32",2020-04-06 16:49:14,18,"Hombre","Caracas","Administración y Contaduría",1,2,4,"Lavarse las manos, no salir a ningún lugar, usar tapa bocas al momento de salir","Bien, tampoco es para tanto","Las cosas van a mejorar","Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"33",2020-04-06 16:49:16,22,"Mujer","Caracas","Economía",2,4,5,NA,"Mal, necesito que esto termine pronto","Las cosas van a estar mucho peor","Estoy leyendo más de lo habitual (libros, revistas), Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando danza, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"34",2020-04-06 16:49:25,18,"Mujer","Caracas","Economía",2,4,4,NA,"Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"35",2020-04-06 16:49:32,18,"Mujer","Caracas","Administración y Contaduría",1,3,3,NA,"Mal, necesito que esto termine pronto","Las cosas van a mejorar","Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"36",2020-04-06 16:49:37,22,"Mujer","Caracas","Administración y Contaduría",3,5,5,"Cumplir la cuarentena no salir de mi casa","Mal, necesito que esto termine pronto","Nada va a cambiar","Estoy adelantando mis estudios, Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"37",2020-04-06 16:49:42,17,"Mujer","Caracas","Psicología",2,2,4,NA,"Mal, necesito que esto termine pronto","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando con un instrumento musical, Estoy practicando danza, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"38",2020-04-06 16:49:43,17,"Hombre","Caracas","Economía",2,1,5,"Aislarme en casa y lavarme las manos","Muy mal, estoy que me subo por las paredes","Nada va a cambiar","Estoy adelantando mis estudios, Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy jugando videojuegos, Estoy conectado con mis amigos en linea (jugando o conversando)"
"39",2020-04-06 16:49:52,17,"Mujer","Caracas","Psicología",2,3,4,NA,"Bien, tampoco es para tanto","Las cosas van a estar mal","Estoy conectado más tiempo en redes sociales, Estoy practicando meditación/yoga, Estoy escribiendo, Estoy aprendiendo algo nuevo (cocina, hobby)"
"40",2020-04-06 16:49:53,18,"Hombre","Caracas","Economía",2,3,5,"Tapabocas, evitar contacto y salidas, no fumar y tomar vitaminas","Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"41",2020-04-06 16:49:57,17,"Mujer","Caracas","Derecho",1,4,5,NA,"Bien, tampoco es para tanto","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy conectado más tiempo en redes sociales, Estoy practicando meditación/yoga, Estoy escribiendo, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"42",2020-04-06 16:50:01,20,"Hombre","Caracas","Comunicación Social",2,4,4,NA,"Muy mal, estoy que me subo por las paredes","Nada va a cambiar","Estoy conectado más tiempo en redes sociales, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"43",2020-04-06 16:50:32,18,"Mujer","Caracas","Administración y Contaduría",1,2,4,NA,"Mal, necesito que esto termine pronto","Las cosas van a mejorar","Estoy leyendo más de lo habitual (libros, revistas), Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando danza, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"44",2020-04-06 16:50:32,19,"Hombre","Caracas","Comunicación Social",2,3,4,"Salir de casa para lo necesario, usar tapa boca y guantes al salir, y al llegar a casa lavarme bien las manos","Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy haciendo cursos en línea, Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando con un instrumento musical, Estoy pasando tiempo en familia"
"45",2020-04-06 16:50:34,20,"Mujer","Caracas","Administración y Contaduría",1,5,4,"Más higiene, menos salidas, menos contacto con demás personas. 
","Regular, pero no hay más remedio","Las cosas van a mejorar","Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"46",2020-04-06 16:50:35,18,"Hombre","Caracas","Economía",2,5,4,"He estado lavándome las manos cada vez que toco algo que voy a usar, me he bañado cada vez que mis padres salen a comprar algo, he usado toallas húmedas personales en forma de precaución, he evitado contacto directo  con mi familia y tocar mi rostro propio.","Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"47",2020-04-06 16:50:38,18,"Hombre","Caracas","Economía",2,1,3,NA,"Bien, tampoco es para tanto","Las cosas van a estar mucho peor","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy conectado más tiempo en redes sociales, Estoy conectado con mis amigos en linea (jugando o conversando)"
"48",2020-04-06 16:50:40,17,"Hombre","Caracas","Administración y Contaduría",2,4,3,NA,"Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"49",2020-04-06 16:51:10,18,"Mujer","Caracas","Economía",1,5,5,NA,"Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy leyendo más de lo habitual (libros, revistas), Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando meditación/yoga, Estoy escribiendo, Estoy pasando tiempo en familia"
"50",2020-04-06 16:51:56,17,"Hombre","Caracas","Administración y Contaduría",1,4,5,NA,"Bien, tampoco es para tanto","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"51",2020-04-06 16:52:08,21,"Hombre","Caracas","Ingeniera",5,5,5,"Salir solo a cosas esenciales con guantes y mascarilla, no interactuar físicamente con nadie fuera de mi casa, lavarme las manos repetidas veces al día","Regular, pero no hay más remedio","Las cosas van a estar mucho peor","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy leyendo más de lo habitual (libros, revistas), Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy pasando tiempo en familia"
"52",2020-04-06 16:52:26,19,"Mujer","Caracas","Comunicación Social",2,3,4,NA,"Bien, tampoco es para tanto","Las cosas van a estar mal","Estoy haciendo cursos en línea, Estoy leyendo más de lo habitual (libros, revistas), Estoy conectado más tiempo en redes sociales, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy practicando danza, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"53",2020-04-06 16:52:34,20,"Hombre","Caracas","Economía",2,4,5,NA,"Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"54",2020-04-06 16:52:58,18,"Hombre","Caracas","Ingeniera",2,3,4,NA,"Bien, tampoco es para tanto","Nada va a cambiar","Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"55",2020-04-06 16:53:18,18,"Hombre","Caracas","Economía",1,4,4,"No salir de casa, uso de tapabocas y gel antibacterial","De maravilla, me encanta estar aislado","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy conectado con mis amigos en linea (jugando o conversando)"
"56",2020-04-06 16:53:21,19,"Mujer","Caracas","Derecho",3,5,5,NA,"Regular, pero no hay más remedio","Las cosas van a estar mucho peor","Estoy haciendo rutinas de ejercicios, Estoy aprendiendo algo nuevo (cocina, hobby)"
"57",2020-04-06 16:53:58,18,"Mujer","Caracas","Economía",1,3,4,"No salir de la casa en lo absoluto","Mal, necesito que esto termine pronto","Las cosas van a estar mucho peor","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"58",2020-04-06 16:54:03,18,"Mujer","Caracas","Ingeniera",2,4,5,NA,"Regular, pero no hay más remedio","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"59",2020-04-06 16:54:36,21,"Mujer","Caracas","Economía",2,5,5,"Tapabocas, guantes, gel antibacterial, 2 metros de distancia, solo salgo de mi casa para comprar comida, desinfecto todo.","Mal, necesito que esto termine pronto","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"60",2020-04-06 16:54:43,18,"Mujer","Caracas","Administración y Contaduría",2,3,3,"Lavarme las manos, evitar contacto con personas","Mal, necesito que esto termine pronto","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy conectado con mis amigos en linea (jugando o conversando)"
"61",2020-04-06 16:54:58,18,"Hombre","Caracas","Administración y Contaduría",1,5,5,"No salir, lavarme las manos todo el tiempo, casi un mes sin salir ni al mercado","Mal, necesito que esto termine pronto","Nada va a cambiar","Estoy adelantando mis estudios, Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"62",2020-04-06 16:55:29,19,"Hombre","Caracas","Ciencias Sociales",2,4,5,NA,"Bien, tampoco es para tanto","Las cosas van a estar mucho peor","Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy practicando con un instrumento musical, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"63",2020-04-06 16:55:40,18,"Hombre","Caracas","Ingeniera",2,3,3,NA,"Bien, tampoco es para tanto","Nada va a cambiar","Estoy adelantando mis estudios, Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
